task,pool_size,actual_pool_size,repeat,gold_count,returned_count,positive_score_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
parallel-tfidf-search,10,10,0,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pddl-tpp-planning,10,10,0,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,10,10,0,2,10,1,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
pedestrian-traffic-counting,10,10,0,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
pg-essay-to-audiobook,10,10,0,4,10,8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,10,10,0,3,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
pptx-reference-formatting,10,10,0,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,10,10,0,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,10,10,0,6,10,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,10,10,0,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,10,10,0,4,10,1,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9047172294870751,1
react-performance-debugging,10,10,0,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
reserves-at-risk-calc,10,10,0,1,10,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
sales-pivot-analysis,10,10,0,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,10,10,0,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,10,10,0,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,10,10,0,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
setup-fuzzing-py,10,10,0,3,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
shock-analysis-demand,10,10,0,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
shock-analysis-supply,10,10,0,1,10,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
simpo-code-reproduction,10,10,0,2,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
software-dependency-audit,10,10,0,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
speaker-diarization-subtitles,10,10,0,4,10,7,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
spring-boot-jakarta-migration,10,10,0,5,10,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,10,10,0,3,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
syzkaller-ppdev-syzlang,10,10,0,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,10,10,0,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,10,10,0,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,10,10,0,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,10,10,0,6,10,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
trend-anomaly-causal-inference,10,10,0,4,10,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,10,10,0,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,10,10,0,7,10,7,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,1.0,1.0,0.9911205770005566,1
video-tutorial-indexer,10,10,0,1,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,10,10,0,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,10,10,0,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,10,10,0,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3d-scan-calc,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,10,10,1,5,10,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
azure-bgp-oscillation-route-leak,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,10,10,1,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9709286432396583,1
court-form-filling,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,10,10,1,2,10,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
dapt-intrusion-detection,10,10,1,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
data-to-d3,10,10,1,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,10,10,1,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,10,10,1,4,10,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,10,10,1,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9619991470595832,1
earthquake-plate-calculation,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,10,10,1,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,10,10,1,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
enterprise-information-search,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exoplanet-detection-period,10,10,1,5,10,4,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9818483242455303,1
financial-modeling-qa,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
find-topk-similiar-chemicals,10,10,1,3,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239,1
fix-build-agentops,10,10,1,4,10,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
fix-build-google-auto,10,10,1,3,10,4,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
fix-druid-loophole-cve,10,10,1,2,10,5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6240505200038379,2
fix-erlang-ssh-cve,10,10,1,6,10,4,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
fix-visual-stability,10,10,1,3,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745,1
flink-query,10,10,1,2,10,2,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6240505200038379,2
flood-risk-analysis,10,10,1,3,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,10,10,1,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,10,10,1,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,10,10,1,5,10,3,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9747429528567879,1
invoice-fraud-detection,10,10,1,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jax-computing-basics,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,10,10,1,5,10,2,1.0,1.0,1.0,1.0,0.4,0.4,1.0,1.0,0.8940043068327738,1
lab-unit-harmonization,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,10,10,1,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
latex-formula-extraction,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lean4-proof,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,10,10,1,2,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
manufacturing-fjsp-optimization,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,10,10,1,3,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mars-clouds-clustering,10,10,1,3,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
mhc-layer-impl,10,10,1,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
multilingual-video-dubbing,10,10,1,6,10,7,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.9930783166417604,1
offer-letter-generator,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,10,10,1,5,10,2,1.0,1.0,1.0,1.0,0.4,0.6,1.0,1.0,0.9182162519778518,1
paper-anonymizer,10,10,1,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,10,10,1,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pddl-tpp-planning,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,10,10,1,2,10,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
pedestrian-traffic-counting,10,10,1,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9619991470595832,1
pg-essay-to-audiobook,10,10,1,4,10,7,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,10,10,1,3,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pptx-reference-formatting,10,10,1,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,10,10,1,6,10,7,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,10,10,1,4,10,2,1.0,1.0,1.0,1.0,0.25,0.75,1.0,1.0,0.8485833840018,1
react-performance-debugging,10,10,1,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
reserves-at-risk-calc,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sales-pivot-analysis,10,10,1,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,10,10,1,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,10,10,1,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,10,10,1,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
setup-fuzzing-py,10,10,1,3,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8854598815714874,1
shock-analysis-demand,10,10,1,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
shock-analysis-supply,10,10,1,1,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
simpo-code-reproduction,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
software-dependency-audit,10,10,1,3,10,4,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
speaker-diarization-subtitles,10,10,1,4,10,8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
spring-boot-jakarta-migration,10,10,1,5,10,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,10,10,1,3,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
syzkaller-ppdev-syzlang,10,10,1,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,10,10,1,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,10,10,1,2,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,10,10,1,6,10,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
trend-anomaly-causal-inference,10,10,1,4,10,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,10,10,1,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,10,10,1,7,10,7,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,1.0,1.0,0.9950883841893562,1
video-tutorial-indexer,10,10,1,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,10,10,1,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,10,10,1,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3d-scan-calc,10,10,2,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,10,10,2,5,10,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
azure-bgp-oscillation-route-leak,10,10,2,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,10,10,2,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,10,10,2,4,10,4,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.9438661545147249,1
court-form-filling,10,10,2,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,10,10,2,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
dapt-intrusion-detection,10,10,2,2,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
data-to-d3,10,10,2,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,10,10,2,1,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,10,10,2,4,10,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,10,10,2,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
earthquake-plate-calculation,10,10,2,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,10,10,2,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,10,10,2,3,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,10,10,2,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9709286432396583,1
enterprise-information-search,10,10,2,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,10,10,2,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
exoplanet-detection-period,10,10,2,5,10,5,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9896062251871525,1
financial-modeling-qa,10,10,2,2,10,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
find-topk-similiar-chemicals,10,10,2,3,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
fix-build-agentops,10,10,2,4,10,4,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9709286432396583,1
fix-build-google-auto,10,10,2,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
fix-druid-loophole-cve,10,10,2,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
fix-erlang-ssh-cve,10,10,2,6,10,4,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.9714761565932641,1
fix-visual-stability,10,10,2,3,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
flink-query,10,10,2,2,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
flood-risk-analysis,10,10,2,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,10,10,2,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,10,10,2,3,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,10,10,2,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,10,10,2,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,10,10,2,5,10,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
invoice-fraud-detection,10,10,2,3,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jax-computing-basics,10,10,2,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,10,10,2,5,10,2,1.0,1.0,1.0,1.0,0.4,0.6,1.0,1.0,0.9182162519778518,1
lab-unit-harmonization,10,10,2,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,10,10,2,4,10,3,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
latex-formula-extraction,10,10,2,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lean4-proof,10,10,2,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,10,10,2,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,10,10,2,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
manufacturing-fjsp-optimization,10,10,2,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,10,10,2,3,10,2,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.8529278650606567,1
