task_id,condition,task_package,skills_dir,exposed_skill_count,covered_gold_count,gold_skill_count,complete_gold_coverage,extra_skill_count,context_tokens,copied_skill_dirs,bench_command,pass_rate_status
fix-erlang-ssh-cve,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/no_skill/environment/skills,0,0,6,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/no_skill,blocked
fix-erlang-ssh-cve,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all/environment/skills,6,6,6,1.0,0,7228,erlang-concurrency;senior-security;ssh-penetration-testing;erlang-otp-behaviors;erlang-distribution;find-bugs,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/oracle_gold_all,blocked
fix-erlang-ssh-cve,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10/environment/skills,10,4,6,0.0,6,13489,erlang-otp-behaviors;ssh-penetration-testing;erlang-distribution;erlang-concurrency;fuzzing-python;lean4-theorem-proving;react-best-practices;jackson-security;lean4-memories;obspy-datacenter-client,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/bm25_top10,blocked
fix-erlang-ssh-cve,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10/environment/skills,10,5,6,0.0,5,14540,erlang-otp-behaviors;ssh-penetration-testing;erlang-concurrency;erlang-distribution;find-bugs;fuzzing-python;jackson-security;senior-java;testing-python;lean4-memories,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/hybrid_bm25_neural_top10,blocked
fix-erlang-ssh-cve,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise/environment/skills,11,6,6,1.0,5,10859,erlang-concurrency;senior-security;ssh-penetration-testing;erlang-otp-behaviors;erlang-distribution;find-bugs;d3-visualization;meteorology-driver-classification;transaction-trace-analysis;scipy-curve-fit;docx,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/oracle_gold_plus_5_noise,blocked
financial-modeling-qa,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/no_skill/environment/skills,0,0,2,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/no_skill,blocked
financial-modeling-qa,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all/environment/skills,2,2,2,1.0,0,2449,pdf;xlsx,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/oracle_gold_all,blocked
financial-modeling-qa,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10/environment/skills,10,1,2,0.0,9,16733,enterprise-artifact-search;planning-with-files;xlsx;xlsx-2;pptx;file-organizer;discover-important-function;position-controller-trajectory-planner;ordered-window-sequencing-mip;openai-vision,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/bm25_top10,blocked
financial-modeling-qa,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10/environment/skills,10,1,2,0.0,9,13191,xlsx;xlsx-2;xlsx-3;ordered-window-sequencing-mip;pcap-analysis;docx;power-flow-data;dialogue-graph;civ6lib;powerlifting,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/hybrid_bm25_neural_top10,blocked
financial-modeling-qa,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_plus_5_noise/environment/skills,7,2,2,1.0,5,5640,pdf;xlsx;python-scala-collections;usgs-data-download;dc-power-flow;obspy-data-api;map-optimization-strategy,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/oracle_gold_plus_5_noise,blocked
energy-market-pricing,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/no_skill/environment/skills,0,0,4,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/energy-market-pricing/no_skill,blocked
energy-market-pricing,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_all/environment/skills,4,4,4,1.0,0,2532,locational-marginal-prices;dc-power-flow;power-flow-data;economic-dispatch,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/energy-market-pricing/oracle_gold_all,blocked
energy-market-pricing,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/bm25_top10/environment/skills,10,4,4,1.0,6,8878,locational-marginal-prices;power-flow-data;economic-dispatch;dc-power-flow;ac-branch-pi-model;casadi-ipopt-nlp;milp-solver-workflow;unit-commitment-operating-rules;unit-commitment-data-modeling;ortools-routing-modeling,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/energy-market-pricing/bm25_top10,blocked
energy-market-pricing,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/hybrid_bm25_neural_top10/environment/skills,10,4,4,1.0,6,8878,locational-marginal-prices;economic-dispatch;ac-branch-pi-model;power-flow-data;dc-power-flow;unit-commitment-operating-rules;milp-solver-workflow;casadi-ipopt-nlp;unit-commitment-data-modeling;ortools-routing-modeling,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/energy-market-pricing/hybrid_bm25_neural_top10,blocked
energy-market-pricing,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_plus_5_noise/environment/skills,9,4,4,1.0,5,8729,locational-marginal-prices;dc-power-flow;power-flow-data;economic-dispatch;powerlifting;grpo;xlsx;egomotion-estimation;uv-package-manager,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/energy-market-pricing/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/energy-market-pricing/oracle_gold_plus_5_noise,blocked
offer-letter-generator,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/no_skill/environment/skills,0,0,1,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/offer-letter-generator/no_skill,blocked
offer-letter-generator,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_all/environment/skills,1,1,1,1.0,0,979,docx,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/offer-letter-generator/oracle_gold_all,blocked
offer-letter-generator,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/bm25_top10/environment/skills,10,1,1,1.0,9,15024,docx;pptx;docx-2;enterprise-artifact-search;pdf;mip-solver-and-solution-audit;obspy-datacenter-client;pdf-editing;seisbench-model-api;discover-important-function,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/offer-letter-generator/bm25_top10,blocked
offer-letter-generator,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/hybrid_bm25_neural_top10/environment/skills,10,1,1,1.0,9,14420,docx;pdf-editing;docx-2;ordered-window-sequencing-mip;pptx;suricata-rules-basics;planning-with-files;xlsx;pdf;xlsx-2,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/offer-letter-generator/hybrid_bm25_neural_top10,blocked
offer-letter-generator,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_plus_5_noise/environment/skills,6,1,1,1.0,5,8160,docx;ortools-routing-modeling;video-frame-extraction;discover-important-function;pdf-editing;pid-controller,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/offer-letter-generator/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/offer-letter-generator/oracle_gold_plus_5_noise,blocked
react-performance-debugging,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/no_skill/environment/skills,0,0,2,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/react-performance-debugging/no_skill,blocked
react-performance-debugging,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_all/environment/skills,2,2,2,1.0,0,1520,react-best-practices;browser-testing,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/react-performance-debugging/oracle_gold_all,blocked
react-performance-debugging,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/bm25_top10/environment/skills,10,2,2,1.0,8,12868,react-best-practices;react-best-practices-2;browser-testing;browser-testing-2;pdf-editing;pptx;docx;enterprise-artifact-search;d3-visualization;seisbench-model-api,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/react-performance-debugging/bm25_top10,blocked
react-performance-debugging,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/hybrid_bm25_neural_top10/environment/skills,10,2,2,1.0,8,12542,react-best-practices;react-best-practices-2;browser-testing;browser-testing-2;d3-visualization;rl-post-training;enterprise-artifact-search;pptx;map-optimization-strategy;uv-package-manager,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/react-performance-debugging/hybrid_bm25_neural_top10,blocked
react-performance-debugging,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_plus_5_noise/environment/skills,7,2,2,1.0,5,5982,react-best-practices;browser-testing;power-flow-data;geospatial-analysis;rl-post-training;seisbench-model-api;fjsp-baseline-repair-with-downtime-and-policy,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/react-performance-debugging/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/react-performance-debugging/oracle_gold_plus_5_noise,blocked
setup-fuzzing-py,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/setup-fuzzing-py/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/setup-fuzzing-py/no_skill/environment/skills,0,0,3,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/setup-fuzzing-py/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/setup-fuzzing-py/no_skill,blocked
